TC1S1,TC2S1,TC1S2,TC2S2,TC1S3,TC2S3
36.957,36.959,36.857,36.859,36.626,36.628
36.965,36.963,36.865,36.863,36.633,36.631
36.984,36.985,36.884,36.885,36.651,36.652
36.987,36.995,36.887,36.895,36.654,36.662
36.995,36.997,36.895,36.897,36.662,36.664
37.010,37.018,36.916,36.923,36.677,36.684
37.012,37.018,36.918,36.924,36.678,36.684
37.016,37.011,36.921,36.916,36.682,36.677
37.018,37.014,36.921,36.916,36.684,36.680
37.021,37.016,36.910,36.906,36.686,36.681
37.021,37.018,36.912,36.909,36.686,36.683
37.024,37.021,36.924,36.921,36.689,36.687
37.028,37.025,36.928,36.925,36.693,36.690
37.031,37.029,36.931,36.929,36.696,36.694
37.032,37.037,36.933,36.937,36.697,36.702
37.033,37.033,36.936,36.936,36.698,36.698
37.033,37.035,36.937,36.938,36.698,36.700
37.036,37.033,36.933,36.931,36.701,36.698
37.037,37.033,36.944,36.940,36.702,36.698
37.041,37.040,36.932,36.931,36.706,36.705
37.041,37.041,36.941,36.941,36.706,36.706
37.043,37.046,36.941,36.944,36.708,36.711
37.044,37.036,36.949,36.941,36.708,36.700
37.044,37.044,36.950,36.951,36.708,36.709
37.048,37.044,36.948,36.944,36.712,36.709
37.049,37.042,36.944,36.937,36.713,36.706
37.050,37.045,36.950,36.945,36.714,36.709
37.050,37.044,36.943,36.937,36.715,36.708
37.051,37.051,36.957,36.957,36.715,36.715
37.051,37.054,36.956,36.958,36.716,36.718
37.052,37.053,36.951,36.952,36.716,36.718
37.053,37.062,36.952,36.961,36.717,36.726
37.056,37.049,36.951,36.945,36.720,36.713
37.057,37.047,36.958,36.948,36.720,36.711
37.058,37.055,36.958,36.955,36.722,36.719
37.058,37.056,36.953,36.950,36.722,36.719
37.058,37.065,36.968,36.975,36.722,36.729
37.062,37.066,36.969,36.972,36.725,36.729
37.062,37.066,36.958,36.962,36.726,36.729
37.066,37.067,36.962,36.963,36.730,36.731
37.068,37.063,36.962,36.957,36.732,36.726
37.069,37.063,36.966,36.961,36.732,36.727
37.069,37.069,36.972,36.971,36.733,36.732
37.071,37.073,36.969,36.971,36.734,36.736
37.072,37.068,36.974,36.970,36.735,36.732
37.073,37.074,36.974,36.975,36.736,36.737
37.073,37.072,36.974,36.973,36.736,36.735
37.073,37.075,36.977,36.979,36.737,36.738
37.074,37.070,36.973,36.969,36.737,36.733
37.074,37.070,36.975,36.972,36.737,36.733
37.074,37.070,36.977,36.973,36.737,36.733
37.074,37.075,36.971,36.971,36.738,36.738
37.074,37.076,36.983,36.985,36.738,36.740
37.075,37.079,36.973,36.977,36.738,36.742
37.075,37.076,36.974,36.975,36.738,36.739
37.075,37.072,36.973,36.970,36.738,36.736
37.076,37.079,36.978,36.982,36.739,36.742
37.076,37.076,36.975,36.976,36.739,36.739
37.077,37.077,36.974,36.974,36.740,36.740
37.077,37.071,36.976,36.970,36.740,36.734
37.077,37.073,36.977,36.973,36.740,36.736
37.078,37.076,36.975,36.972,36.741,36.739
37.079,37.084,36.976,36.981,36.742,36.747
37.080,37.081,36.982,36.983,36.743,36.744
37.080,37.083,36.991,36.994,36.743,36.746
37.081,37.083,36.989,36.991,36.744,36.746
37.082,37.080,36.985,36.982,36.745,36.742
37.083,37.074,36.985,36.975,36.746,36.736
37.085,37.082,36.980,36.977,36.747,36.744
37.085,37.080,36.985,36.980,36.747,36.743
37.085,37.081,36.986,36.981,36.748,36.744
37.086,37.082,36.981,36.978,36.748,36.745
37.087,37.092,36.980,36.986,36.750,36.755
